"letter	ID	amplitude	amplitude_se	time	num_events	frequency	cell	sex	X	Y	age	animal	synapses	treatment	category	R_a	notes	days_alone	animal_or_slicing_problems",,,,,,,,,,,,,,,,
"RMN1	Concatenate-RMN1	25.02	1.34	4.92	54	10.8	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	22.84	1.09	5	53	10.6	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	24.95	1.35	5.08	49	9.8	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	25.71	1.3	5.17	42	8.4	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	21.54	0.87	5.25	52	10.4	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	21	0.92	5.33	46	9.2	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	18.45	0.8	5.42	48	9.6	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	18.56	0.75	5.5	47	9.4	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	22.7	0.93	5.58	55	11	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	25.26	1.45	5.67	51	10.2	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	23.82	1.23	5.75	51	10.2	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	23.79	0.95	5.83	47	9.4	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	25.12	1.42	5.92	51	10.2	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	25.65	1.21	6	50	10	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	25.27	0.96	6.08	49	9.8	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	25.5	1.18	6.17	56	11.2	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	23.39	1.13	6.25	48	9.6	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	24.74	1.63	6.33	51	10.2	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	22.41	1	6.42	50	10	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	22.07	0.98	6.5	50	10	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	20.84	1.12	6.58	51	10.2	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	23.14	1.41	6.67	53	10.6	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	20.37	0.9	6.75	50	10	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	22.54	1.01	6.83	43	8.6	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	22.5	0.99	6.92	51	10.2	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	24.78	1.4	7	47	9.4	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	21.92	1.03	7.08	46	9.2	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	23.83	1.04	7.17	50	10	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	23.9	1.17	7.25	50	10	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	23.49	1.09	7.33	49	9.8	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	22.62	1.3	7.42	52	10.4	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	23.59	1.01	7.5	54	10.8	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	21.35	1.34	7.58	44	8.8	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	22.64	1.21	7.67	42	8.4	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	23.21	1.08	7.75	49	9.8	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	22.74	1.23	7.83	47	9.4	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	21.03	1.04	7.92	51	10.2	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	23.97	1.09	8	48	9.6	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	23.73	1.11	8.08	49	9.8	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	25.17	1.24	8.17	50	10	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	22.21	0.99	8.25	57	11.4	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	20.9	1.12	8.33	53	10.6	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	21.63	1.07	8.42	52	10.4	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	18.88	0.75	8.5	46	9.2	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	20.31	1.07	8.58	53	10.6	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	20.24	0.86	8.67	45	9	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	21.67	0.99	8.75	53	10.6	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	17.54	0.79	8.83	42	8.4	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	20.85	1.02	8.92	49	9.8	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	23.09	1.1	9	47	9.4	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	21.59	1.15	9.08	51	10.2	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	23.11	1.17	9.17	51	10.2	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	19.76	0.87	9.25	46	9.2	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	19.59	1.02	9.33	51	10.2	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	18.74	0.95	9.42	45	9	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	19.45	0.9	9.5	47	9.4	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	20.48	1.12	9.58	52	10.4	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	20.58	1.2	9.67	43	8.6	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	20.29	1.08	9.75	48	9.6	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	21.6	1.04	9.83	48	9.6	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
